ID,Source,Default branch,XML launch files,Py launch files,Language,Issues (total),Open issues,Closed issues,PR (total),Open PRs,Closed PRs,Commits,Branches,Releases,Contributors,Description,URL,Categorized by,Batch,Included,Violated criterion,Scope,System type 1,System type 2,System type 3,Capability 1,Capability 2,Capability 3,SA documented,SA documentation,Notes
Arpafaucon/sp,github,master,19,0,Python,1,1,0,0,0,0,139,2,2,3,ENSTA Year project,https://github.com/Arpafaucon/sp,Ivano,1,NO,E1,,,,,,,,,,
astuff/ibeo_lux,github,master,2,0,C++,6,1,5,9,0,9,128,4,2,11,ROS Driver for Ibeo LUX and LUX Fusion Sensors,https://github.com/astuff/ibeo_lux,Ivano,1,NO,E7,,,,,,,,,,Driver
astuff/ibeo_scala,github,master,1,0,C++,3,1,2,5,0,5,114,3,0,7,ROS Driver for Ibeo Scala and Scala Fusion Products,https://github.com/astuff/ibeo_scala,Ivano,1,NO,E7,,,,,,,,,,
astuff/kvaser_interface,github,master,3,0,C++,13,3,10,29,0,29,269,2,15,15,A Kvaser CAN interface ROS abstraction layer.,https://github.com/astuff/kvaser_interface,Ivano,1,NO,E7,,,,,,,,,,
astuff/pacmod,github,master,1,0,C++,1,0,1,11,0,11,209,4,15,12,A ROS driver for the AutonomouStuff PACMod drive-by-wire system.,https://github.com/astuff/pacmod,Ivano,1,NO,E7,,,,,,,,,,
astuff/pacmod3,github,master,1,0,C++,4,2,2,45,0,45,190,8,5,16,PACMod Board Rev 3 Driver,https://github.com/astuff/pacmod3,Ivano,1,NO,E7,,,,,,,,,,
asymingt/deepdive,github,master,4,0,C++,0,0,0,0,0,0,708,2,0,22,Rigid body tracking with HTC Vive trackers,https://github.com/asymingt/deepdive,Ivano,1,NO,E7,,,,,,,,,,
at-wat/mcl_3dl,github,master,7,0,C++,67,17,50,163,0,163,201,3,5,3,A ROS node to perform a probabilistic 3-D/6-DOF localization system for mobile robots with 3-D LIDAR(s). It implements pointcloud based Monte Carlo localization that uses a reference pointcloud as a map.,https://github.com/at-wat/mcl_3dl,Ivano,1,YES,,SUBSYSTEM,Ground,,,Localization,,,YES,https://github.com/at-wat/mcl_3dl,
at-wat/neonavigation,github,master,17,0,C++,88,22,66,228,3,225,406,7,7,10,A 2-D/3-DOF seamless global/local mobile robot motion planner package for ROS,https://github.com/at-wat/neonavigation,Ivano,1,YES,,SUBSYSTEM,Ground,,,Navigation,,,YES,http://frl.niche.tohoku.ac.jp/pdf/2016-SSRR-AWD1-online.pdf,
auengagroactu_sens/dji_matrice100_onboard_sdk_ros,bitbucket,3.1,6,0,NA,0,0,0,0,0,0,180,2,NA,15,,https://bitbucket.org/auengagroactu_sens/dji_matrice100_onboard_sdk_ros,Ivano,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,PARTIALLY,https://bitbucket.org/auengagroactu_sens/dji_matrice100_onboard_sdk_ros/src/3.1/dji_sdk_doc/Appendix.md,Full stack of DJI drone
austin-robot/utexas-art-ros-pkg,github,master,36,0,C++,3,3,0,0,0,0,971,2,0,11,ROS packages for UTexas and Austin Robot Technology driverless car,https://github.com/austin-robot/utexas-art-ros-pkg,Ivano,1,YES,,FULL_SYSTEM,Selfdriving_car,,,FULL,,,PARTIALLY,https://github.com/austin-robot/utexas-art-ros-pkg,Full stack of self-driving car
autonohm/ohm_tsd_slam,github,master,3,0,C++,3,2,1,16,0,16,224,13,3,12,SLAM approach based on truncated signed distance transform,https://github.com/autonohm/ohm_tsd_slam,Ivano,1,YES,,SUBSYSTEM,GEN,,,Slam,,,NO,,
AutonomyLab/ardrone_autonomy,github,indigo-devel,3,0,C,177,48,129,49,5,44,296,15,10,16,ROS driver for Parrot AR-Drone 1.0 and 2.0 quadrocopters,https://github.com/AutonomyLab/ardrone_autonomy,Ivano,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,PARTIALLY,https://ardrone-autonomy.readthedocs.io/en/latest/commands.html,
AutonomyLab/bebop_autonomy,github,indigo-devel,6,0,C++,146,70,76,49,16,33,159,9,9,9,ROS driver for Parrot Bebop Drones 1.0 & 2.0,https://github.com/AutonomyLab/bebop_autonomy,Ivano,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,PARTIALLY,https://bebop-autonomy.readthedocs.io/en/latest/piloting.html,
AutonomyLab/create_autonomy,github,indigo-devel,7,0,C++,37,14,23,22,3,19,137,6,9,7,ROS driver for iRobot Create 1 and 2.,https://github.com/AutonomyLab/create_autonomy,Ivano,1,YES,,FULL_SYSTEM,Service,,,FULL,,,YES,https://github.com/AutonomyLab/create_autonomy,
AutoRally/autorally,github,kinetic-devel,41,0,C++,47,14,33,33,1,32,561,35,11,37,Software for the AutoRally platform,https://github.com/AutoRally/autorally,Ivano,1,YES,,FULL_SYSTEM,Selfdriving_car,,,FULL,,,YES,https://ieeexplore.ieee.org/abstract/document/8616931,
autowarefoundation/autoware,github,master,249,0,C++,983,214,769,1316,45,1271,3499,134,22,100,Open-source software for self-driving vehicles,https://github.com/autowarefoundation/autoware,Ivano,1,YES,,FULL_SYSTEM,Selfdriving_car,,,FULL,,,PARTIALLY,https://gitlab.com/autowarefoundation/autoware.ai/autoware/wikis/Overview,"There is a newer repository for this project (see https://www.autoware.ai/), but all commits, issues, and pull requests are still in the original one. This is why are considering the old repository."
AUV-IITK/Anahita,github,master,20,0,C++,17,5,12,44,0,44,463,3,0,11,Repository for software behind the 2nd Vehicle of team AUV-IITK,https://github.com/AUV-IITK/Anahita,Ivano,1,YES,,FULL_SYSTEM,Underwater,,,FULL,,,NO,,
AUV-IITK/Varun-Software,github,master,18,0,C++,60,0,60,167,0,167,826,4,0,19,Documentation at http://auv-iitk.github.io/auv2016/,https://github.com/AUV-IITK/Varun-Software,Ivano,1,YES,,FULL_SYSTEM,Underwater,,,FULL,,,NO,,
b-it-bots/mas_domestic_robotics,github,kinetic,58,0,Python,80,39,41,110,4,106,1281,10,9,35,Robot-independent ROS packages for domestic applications,https://github.com/b-it-bots/mas_domestic_robotics,Ivano,1,YES,,SUBSYSTEM,GEN,,,Planning,Navigation,Sensing,PARTIALLY,https://github.com/b-it-bots/mas_domestic_robotics,
bayesian-object-tracking/dbot_ros,github,master,6,0,C++,8,2,6,2,1,1,676,4,2,11,ROS package of Depth-Based Bayesian Object Tracking,https://github.com/bayesian-object-tracking/dbot_ros,Ivano,1,YES,,SUBSYSTEM,GEN,,,Vision,,,NO,,
bcharrow/scarab,github,master,15,0,C++,0,0,0,4,1,3,194,6,1,4,ROS code for UPenn's scarab robot,https://github.com/bcharrow/scarab,Ivano,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
BCLab-UNM/SwarmBaseCode-ROS,github,master,3,0,C++,99,16,83,157,6,151,1555,58,59,28,The base code provided to teams participating in NASA Swarmathon IV.,https://github.com/BCLab-UNM/SwarmBaseCode-ROS,Ivano,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
BerkeleyAutomation/gqcnn,github,master,1,0,Python,41,1,40,33,1,32,702,41,2,13,Python module for GQ-CNN training and deployment with ROS integration.,https://github.com/BerkeleyAutomation/gqcnn,Ivano,1,NO,E8,,,,,,,,,,
berkeleyopenarms/blue_core,github,master,13,0,C++,5,1,4,64,7,57,540,33,0,13,The Blue stack provides all the basic software for running and using a Blue robot arm,https://github.com/berkeleyopenarms/blue_core,Ivano,1,YES,,FULL_SYSTEM,Manu,,,FULL,,,NO,,
Bichette09/imaginarium,github,master,19,0,C++,0,0,0,0,0,0,246,2,0,7,Robotic projects based on RaspberryPi and ros,https://github.com/Bichette09/imaginarium,Ivano,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
billieblaze/ROS_Rover_addons,github,master,4,0,C++,0,0,0,0,0,0,104,2,0,5,ROS addons and realtime web app for my Navio2 Based rover,https://github.com/billieblaze/ROS_Rover_addons,Ivano,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,NO,,
bk8190/bk-ros,github,master,14,0,Python,0,0,0,0,0,0,343,2,3,3,,https://github.com/bk8190/bk-ros,Ivano,1,YES,,SUBSYSTEM,GEN,,,Vision,,,NO,,
bluesat/owr_software,github,master,56,0,C++,74,34,40,62,6,56,1382,62,3,50,BLUEsat Off World Robotics Rover Backend,https://github.com/bluesat/owr_software,Ivano,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,PARTIALLY,https://bluesat.atlassian.net/wiki/spaces/OWRT/pages/1770069/Software+Module+Overview,Space rover
byu-magicc/roscopter,github,master,5,0,C++,19,6,13,20,0,20,183,15,0,19,"*Under Development* - A fully-featured multirotor autopilot for ROS, based on Dr. Beard's Quadrotor Notes",https://github.com/byu-magicc/roscopter,Ivano,1,YES,,SUBSYSTEM,Aerial,,,Control,Navigation,,NO,,
byu-magicc/rosplane,github,RC1.0,3,0,C++,27,7,20,41,2,39,192,10,0,20,"A basic fixed-wing autopilot for ROS - based on the textbook ""Small Unmanned Aircraft: Theory and Practice"" by Randy Beard and Tim McLain",https://github.com/byu-magicc/rosplane,Ivano,1,YES,,SUBSYSTEM,Aerial,,,Control,Navigation,,PARTIALLY,https://github.com/byu-magicc/rosplane https://par.nsf.gov/servlets/purl/10053368,
CalPolyRobotics/IGVC-ROS,github,master,25,0,C++,16,12,4,7,0,7,185,7,1,18,ROS implementation to be running on the actual autonomous vehicle.,https://github.com/CalPolyRobotics/IGVC-ROS,Ivano,1,YES,,FULL_SYSTEM,Selfdriving_car,,,FULL,,,NO,,
carlosmccosta/dynamic_robot_localization_tests,github,hydro-devel,75,0,Shell,0,0,0,0,0,0,145,2,0,2,Tests for dynamic_robot_localization ROS package,https://github.com/carlosmccosta/dynamic_robot_localization_tests,Ivano,1,NO,E6,,,,,,,,,,
castacks/navframe,bitbucket,master,6,0,NA,0,0,0,0,0,0,111,6,NA,11,"A ros wrapper for ukf, defines the input type for different update messages(like odom, imu etc). ",https://bitbucket.org/castacks/navframe,Ivano,1,NO,E9,,,,,,,,,,
castacks/rosfovis,bitbucket,master,9,0,NA,0,0,0,0,0,0,116,4,NA,8,ca_stacks version of ROS fovis wrapper,https://bitbucket.org/castacks/rosfovis,Grace,1,NO,E9,,,,,,,,,,
castacks/viso2_ros,bitbucket,master,2,0,NA,0,0,0,0,0,0,115,6,NA,11,This is the web version taken from http://wiki.ros.org/viso2_ros,https://bitbucket.org/castacks/viso2_ros,Grace,1,NO,E9,,,,,,,,,,
cbandera/rosparam_handler,github,develop,2,0,Python,22,5,17,43,2,41,140,4,4,14,An easy wrapper for using parameters in ROS,https://github.com/cbandera/rosparam_handler,Grace,1,YES,,SUBSYSTEM,GEN,,,Integration,DevSupport,,NO,,
cedricpradalier/ros_task_manager,github,master,11,0,C++,1,0,1,2,1,1,132,6,0,9,Generic Task Manager for ROS,https://github.com/cedricpradalier/ros_task_manager,Grace,1,YES,,SUBSYSTEM,GEN,,,Infrastructural,DevSupport,,NO,,
ceptontech/cepton_ros,github,master,8,0,C++,3,1,2,0,0,0,110,3,12,1,Cepton ROS package,https://github.com/ceptontech/cepton_ros,Grace,1,NO,E7,,,,,,,,,,
chicagoedt/revo_robot,github,development,67,0,Python,71,10,61,18,1,17,520,4,0,23,"Code for EDT's IGVC entry, Revo.",https://github.com/chicagoedt/revo_robot,Grace,1,NO,E1,,,,,,,,,,U Chicago entry for IGVC competition
chicagoedt/rmc_software_2017,github,rmc_2017,35,0,C++,5,3,2,10,0,10,189,9,0,17,Software Development Repository for RMC,https://github.com/chicagoedt/rmc_software_2017,Grace,1,NO,E1,,,,,,,,,,U Chicago entry for RMC competition
chili-epfl/cowriter_letter_learning,github,master,1,0,Python,14,13,1,0,0,0,115,7,2,7,A collection of ROS nodes which enable children to teach the Nao robot handwriting.,https://github.com/chili-epfl/cowriter_letter_learning,Grace,1,NO,E1,,,,,,,,,,
chrisl8/ArloBot,github,new-serial-interface,60,0,Python,23,3,20,17,0,17,909,6,3,9,ROS Package for a Parallax ArloBot based off of Turtlebot code,https://github.com/chrisl8/ArloBot,Grace,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
CIR-KIT/fifth_robot_pkg,github,master,32,0,CMake,78,0,78,69,0,69,1077,5,2,16,CIR-KIT5 の開発レポジトリ,https://github.com/CIR-KIT/fifth_robot_pkg,Grace,1,NO,E11,,,,,,,,,,"From a student group that participates in the Tsukuba Challenge, which is a city driving automomous vehicle competition"
CIR-KIT/fourth_robot_pkg,github,indigo-devel,26,0,C,5,1,4,23,0,23,290,7,0,2,4号機（KIT-C4）用リポジトリ,https://github.com/CIR-KIT/fourth_robot_pkg,Grace,1,NO,E11,,,,,,,,,,"From a student group that participates in the Tsukuba Challenge, which is a city driving automomous vehicle competition"
CIR-KIT/human_detector,github,master,12,0,C++,2,1,1,6,0,6,120,3,0,5,Human detector package for Tshukuba Challenge,https://github.com/CIR-KIT/human_detector,Grace,1,NO,E11,,,,,,,,,,"From a student group that participates in the Tsukuba Challenge, which is a city driving automomous vehicle competition"
CIR-KIT/steer_drive_ros,github,kinetic-devel,16,0,C++,13,5,8,16,0,16,276,6,0,10,Steer drive package for ROS,https://github.com/CIR-KIT/steer_drive_ros,Grace,1,NO,E11,,,,,,,,,,"From a student group that participates in the Tsukuba Challenge, which is a city driving automomous vehicle competition"
clearpathrobotics/applanix_driver,github,hydro-devel,3,0,Python,4,1,3,4,0,4,127,7,13,8,ROS driver for Applanix hardware,https://github.com/clearpathrobotics/applanix_driver,Grace,1,NO,E7,,,,,,,,,,
clubcapra/Ibex,github,master,157,0,C++,0,0,0,7,0,7,758,13,3,35,Capra-Ibex is a ROS-based solution for managing and operating Club Capra's autonomous vehicles.,https://github.com/clubcapra/Ibex,Grace,1,NO,E1,,,,,,,,,,Student club at ETS
clubcapra/Takin,github,master,4,0,C++,3,2,1,65,1,64,422,7,1,23, :goat: Capra-Takin is a ROS-based solution for managing and operating Club Capra's rescue robot. :sheep:,https://github.com/clubcapra/Takin,Grace,1,NO,E1,,,,,,,,,,
code-iai/rosjava_jni,github,master,1,0,Java,0,0,0,1,0,1,102,3,12,12,TBD,https://github.com/code-iai/rosjava_jni,Grace,1,NO,E3,,,,,,,,,,
CognitiveComputingResearchGroup/lidapy-framework,github,master,4,0,Python,24,6,18,38,0,38,281,8,0,4,A Python-based LIDA framework using ROS.,https://github.com/CognitiveComputingResearchGroup/lidapy-framework,Grace,1,NO,E1,,,,,,,,,,Student project. Interface to the LIDA framework.
colerc2/btce_bot,github,master,4,0,C++,0,0,0,0,0,0,168,2,0,2,BTC-E trading bot written in C++/Python using ROS,https://github.com/colerc2/btce_bot,Grace,1,NO,E9,,,,,,,,,,"BTC-E Trade Bot, is a tool that enables you to automatically or manually buy/sell bitcoin on btc-e.com using btc-c trade API. Not even clear why you would do this in ROS."
CopterExpress/clever,github,master,11,0,C++,23,1,22,103,3,100,2046,14,32,32,"Software, RPi image and docs for CLEVER drone kit",https://github.com/CopterExpress/clever,Grace,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,NO,,
CopterExpress/clever_bundle,github,master,9,0,Python,0,0,0,9,0,9,134,5,1,6,Репозиторий влит в https://github.com/CopterExpress/clever,https://github.com/CopterExpress/clever_bundle,Grace,1,NO,E3,,,,,,,,,,Duplicate of the previous one
corobotics/corobot-kinetic,github,master,7,0,C++,1,1,0,0,0,0,147,2,0,12,"Main corobot code, refactored for ROS Kinetic",https://github.com/corobotics/corobot-kinetic,Grace,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
corot/world_canvas,github,master,4,0,Python,44,12,32,5,0,5,123,2,1,6,"ROS framework for storing and accessing semantic information about the world, with an initial emphasis on needs and use cases for mobile robots.",https://github.com/corot/world_canvas,Grace,1,YES,,SUBSYSTEM,GEN,,,Infrastructural,,,NO,,
cpaxton/costar_stack,github,master,77,0,C++,54,15,39,80,3,77,1949,6,24,14,"Integrated ROS capabilities for planning, predicate inference, gripper control, and perception for use with the KUKA LBR IIWA and Universal Robots.",https://github.com/cpaxton/costar_stack,Grace,1,YES,,SUBSYSTEM,GEN,,,Control,,,NO,,CoSTAR is an end-user interface for authoring robot task plans
cra-ros-pkg/robot_localization,github,melodic-devel,20,0,C++,201,26,175,265,1,264,901,13,59,42,"robot_localization is a package of nonlinear state estimation nodes. The package was developed by Charles River Analytics, Inc. Please ask questions on answers.ros.org.",https://github.com/cra-ros-pkg/robot_localization,Grace,1,YES,,SUBSYSTEM,Ground,,,Mapping,Localization,,YES,http://docs.ros.org/melodic/api/robot_localization/html/index.html,
craftit/DogBotSoftware,github,master,10,0,C,0,0,0,2,0,2,369,7,0,3,"DogBot API, ROS interface and firmware",https://github.com/craftit/DogBotSoftware,Grace,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
cram-code/cram_physics,github,master,1,0,Common Lisp,5,2,3,21,0,21,1064,4,2,12,DEPRECATED. All the commits from here are in the corresponding cram2 repo: https://github.com/cram2/cram_3d_world,https://github.com/cram-code/cram_physics,Grace,1,NO,E3,,,,,,,,,,"The repo in the spreadsheet is deprecated, and links to a second repository. This second repository is also deprecated and links to a third repository.  This third repository does not appear in the spreadsheet. Include or not include? http://cram-system.org site seems to be down."
crigroup/ensenso,github,kinetic-devel,2,0,C++,13,5,8,13,0,13,162,3,0,11,Code for using Ensenso camera,https://github.com/crigroup/ensenso,Grace,1,NO,E7,,,,,,,,,,Camera driver
CSULA-RoboSub/Robosub2018,github,master,7,0,HTML,9,7,2,121,0,121,669,13,0,9,src folder for robosub 2018 cs team's ROS catkin workspace,https://github.com/CSULA-RoboSub/Robosub2018,Grace,1,NO,E1,,,,,,,,,,Submission to RoboSub competition
csvance/jetson_tensorrt,github,master,4,0,C++,13,4,9,2,0,2,126,2,0,1,ROS TensorRT Inference Nodes for DIGITS on the Jetson,https://github.com/csvance/jetson_tensorrt,Grace,1,NO,E7,,,,,,,,,,Nodes that run DIGITS on an NVIDIA Jetson GPU
ct2034/dockeROS,github,master,1,0,Python,1,0,1,0,0,0,205,4,7,5,Simply running ros nodes in docker containers on remote robots.,https://github.com/ct2034/dockeROS,Grace,1,NO,E8,,,,,,,,,,Tool for packaging ROS components in Docker containers
cuflynet/rtabmap_ros,bitbucket,master,41,0,NA,0,0,0,0,0,0,524,3,NA,7,,https://bitbucket.org/cuflynet/rtabmap_ros,Grace,1,NO,E3,,,,,,,,,,States that is it a fork without a component that was failing in the main build. 
cvra/goldorak,github,master,15,0,C++,5,2,3,16,1,15,473,6,4,6,"Project Goldorak, CVRA's small robot for Eurobot 2016, running ROS",https://github.com/cvra/goldorak,Grace,1,NO,E1,,,,,,,,,,Submission to Eurobot 2016
cwru-robotics/cwru-ros-pkg,github,master,34,0,C++,0,0,0,4,0,4,963,10,0,26,CWRU ROS Packages,https://github.com/cwru-robotics/cwru-ros-pkg,Grace,1,NO,E1,,,,,,,,,,
daenny/collvoid,github,master,42,0,C++,4,3,1,1,0,1,398,4,0,11,ROS multi_robot_collision_avoidance,https://github.com/daenny/collvoid,Grace,1,NO,E1,,,,,,,,,,
DaikiMaekawa/quadrotor_moveit_nav,github,master,29,0,C++,6,4,2,44,0,44,246,3,0,2,This packages provide path planner for moving the quadrotor in 3D using ROS.,https://github.com/DaikiMaekawa/quadrotor_moveit_nav,Grace,1,NO,E4,,,,,,,,,,
datlife/jetson-car,github,master,65,0,C++,12,5,7,0,0,0,242,3,0,5,Autonomous Racing Car using NVIDIA Jetson TX2 using end-to-end driving approach. Paper: https://arxiv.org/abs/1604.07316,https://github.com/datlife/jetson-car,Grace,1,NO,E1,,,,,,,,,,
davetcoleman/baxter_cpp,github,kinetic-devel,38,0,C++,18,6,12,10,0,10,477,6,4,8,"Additional Baxter packages for MoveIt, written entirely in C++",https://github.com/davetcoleman/baxter_cpp,Grace,1,NO,E1,,,,,,,,,,
davetcoleman/clam,github,indigo-devel,53,0,C++,10,5,5,9,0,9,248,4,0,6,ROS software for controlling 7-DOF low-cost robotic manipulator,https://github.com/davetcoleman/clam,Grace,1,NO,E1,,,,,,,,,,
davetcoleman/moveit_simple_grasps,github,kinetic-devel,4,0,C++,9,1,8,18,0,18,109,5,6,6,Generate basic grasp poses for simple objects such as blocks or cylinders,https://github.com/davetcoleman/moveit_simple_grasps,Grace,1,NO,E1,,,,,,,,,,
davidbsp/patrolling_sim,github,master,4,0,C++,5,3,2,0,0,0,146,3,3,7,patrolling_sim for ROS,https://github.com/davidbsp/patrolling_sim,Grace,1,NO,E2,,,,,,,,,,
DavidObando/carnd,github,master,14,0,Jupyter Notebook,1,1,0,1,0,1,153,3,0,1,Contains my assignments and labs for Udacity's Self-Driving Car Engineer nanodegree,https://github.com/DavidObando/carnd,Grace,1,NO,E1,,,,,,,,,,
decoderdan/projectPhoenix,github,master,10,0,C++,0,0,0,0,0,0,313,3,0,10,ROS AUV - Scratch build,https://github.com/decoderdan/projectPhoenix,Grace,1,NO,E3,,,,,,,,,,
devineproject/DEVINE,github,master,3,0,Python,0,0,0,226,0,226,566,10,1,18,Integration of the VQA game GuessWhat?! on the robot IRL-1 using ROS,https://github.com/devineproject/DEVINE,Grace,1,NO,E1,,,,,,,,,,
dfki-ric/mir_robot,github,melodic,18,0,Python,20,3,17,9,0,9,114,5,5,5,ROS support for the MiR100 Robot,https://github.com/dfki-ric/mir_robot,Grace,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,
diogoalmeida/sarafun_bt,github,master,3,0,C++,7,1,6,7,0,7,148,2,1,5,Behavior Trees for the SARAFun project,https://github.com/diogoalmeida/sarafun_bt,Grace,1,NO,E4,,,,,,,,,,
diogoalmeida/sarafun_folding_assembly,github,master,1,0,C++,5,0,5,2,0,2,121,4,3,3,ROS package implementing folding assembly functionality for the SARAFun project.,https://github.com/diogoalmeida/sarafun_folding_assembly,Grace,1,NO,E4,,,,,,,,,,
dji-sdk/Onboard-SDK-ROS,github,3.8,1,0,C++,235,92,143,34,14,20,254,10,26,28,Official ROS packages for DJI onboard SDK. ,https://github.com/dji-sdk/Onboard-SDK-ROS,Grace,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,YES,http://wiki.ros.org/dji_sdk,
DJTobias/Cherry-Autonomous-Racecar,github,master,2,0,Python,6,3,3,0,0,0,212,2,0,3,Implementation of the CNN from End to End Learning for Self-Driving Cars on a Nvidia Jetson TX1 using Tensorflow and ROS,https://github.com/DJTobias/Cherry-Autonomous-Racecar,Grace,1,NO,E1,,,,,,,,,,
DLu/rwi_ros,github,master,4,0,C++,0,0,0,2,0,2,100,7,4,3,ROS Nodes for running RWI's B21r Robot,https://github.com/DLu/rwi_ros,Grace,1,NO,E1,,,,,,,,,,
dmicha16/awsp_ros,github,master,8,0,C++,0,0,0,4,0,4,125,6,0,5,Collection of packages as a ROS workspace for the AAU AWSP 5th and 6th semester project.,https://github.com/dmicha16/awsp_ros,Bradley,1,NO,,,,,,,,,,,
