ID,Repo ID,Practices,Notes,Guidelines 1,Guidelines 2,Guidelines 3,Guidelines 4
49,googlecartographer/cartographer_ros,"Only the first echo is used. If num_multi_echo_laser_scans is greater than 1, multiple numbered echoes topics (i.e. echoes_1, echoes_2, echoes_3, … up to and including num_multi_echo_laser_scans) will be used as inputs for SLAM.",Multiple data? Multiple topics!,G23,,,
50,googlecartographer/cartographer_ros,All services responses include also a StatusResponse that comprises a code and a message field. ,,G23,,,
51,googlecartographer/cartographer_ros,"Generating the map is expensive and slow, so map updates are in the order of seconds. You can can selectively include/exclude submaps from frozen (static) or active trajectories with a command line option.",,G6,,,
52,hasauino/rrt_exploration,"Running additional instances of the global frontier detector can enhance the speed of frontier points detection, if needed.",,G22,,,
53,hasauino/rrt_exploration,"In multi-robot configuration, each robot runs an instance of the local_rrt_frontier_detector. So for a team of 3 robots, there will be 4 nodes for detecting frontier points; 3 local detectors and 1 global detector. Running additional instances of the local frontier detector can enhance the speed of frontier points detection, if needed.

All detectors will be publishing detected frontier points on the same topic (/detected_points).",,G22,,,
54,hasauino/rrt_exploration,"The filter nodes receives the detected frontier points from all the detectors, filters the points, and passes them to the assigner node to command the robots. Filtration includes the delection of old and invalid points, and it also dicards redundant points.",,G5,,,
55,hrnr/m-explore,"Incremental updates on costmap. Not necessary if source of map is always publishing full updates, i.e. does not provide this topic.","Publish only updates if possible instead of full data structures (e.g., maps)",G13,,,
56,hrnr/m-explore,Estimating transforms between grids is cpu-intensive so you might want to tune estimation_rate parameter to run re-estimation less often if it causes any troubles.,Have parameters to adjust how often expensive operations run.,G20,,,
57,hrnr/m-explore,"Main disadvantage of this setup is a single-point-of-failure roscore service. Although the communication in the ROS network is always peer-to-peer, roscore is required for advertisement, enumerating topics and establishing communication. This might not be acceptable for exploration robots communicating over unreliable link. multirobot map merge can work transparently with both configurations as it is not tied to any particular communication between robots, allowing a great flexibility.",,G38,,,
58,hrnr/robo-rescue,This project uses layered architecture to create multiple layers of abstraction. Bottom layer is Hardware Abstraction Layer. With aim to hide maximum of hardware differences. Middle layer (DPL) aggregates multiple data streams from HAL into single data stream. Top layer holds higher algorithms which operate on the whole robot. Thanks to clearly defined layers is this architecture suitable for fast prototyping of robots.,I have seen this layered architecture in multiple projects (including the paper that I sent today),G2,,,
59,hrnr/robo-rescue,"HAL receives raw data from sensors and sends raw low level commands to joints. Data may come from real robots as well as simulation. Nodes of HAL should transform data ,which come from variety of bus interfaces and sensor or actuator types. This layer is therefore uniquely build for each robot depending on its configuration. This layer also holds function of synchronizer. In case of simulation it should set ROS default time to simulated. Otherwise it should time-stamp data with ROS default system time.",,G16,,,
60,hrnr/robo-rescue,"DPL aggregates multiple data streams received from HAL. These messages must be fused together to provide overall robot state information. All data should be transformed to robot main frame_ID called base_link and then processed. Output from this stack of ROS packages should be come standardized ROS messages like Odom, PointCloud ,LaserScan. These messages are commonly used in algorithms. This layer also includes passing messages from algorithms to bottom layers. These are mostly represented by Twist commands for movement of the robot. Twist message is translated into angular velocities of robot motors.
",,G17,,,
61,hrnr/robo-rescue,"This project use standard ROS TF tree. It is formation of coordinate frames of all vital parts of the robot. Robot model is described in URDF file. TF uses forward and inverse transformation in between the frames. The main structure of the robot consists of frames: map -> odom -> base_footprint -> base_link ->[robot structure ,sensors and actuators].
","Note sure if this is relevant, but this fragment talks about standardization.",G17,,,
62,introlab/rtabmap_ros,"map_optimizer
This node is for advanced usage only as it is preferred to use graph optimization already inside rtabmap node (which is the default). This node can be used to optimize the graph outside rtabmap node. The benefice to do that is that we can keep optimized the global map instead of the local map of rtabmap. You can then connect output mapData_optimized to map_assembler to get the optimized grid, proj and cloud maps assembled again. Note that processing time for map optimization using this node is not bounded (which is the case in rtabmap node).",,G6,G7,,
63,introlab/rtabmap_ros,"Synchronize RGB, depth and camera_info messages into a single message. You can then use subscribe_rgbd to make rtabmap or odometry nodes subscribing to this message instead. This is useful when, for example, rtabmap is subscribed also to a laser scan or odometry topic published at different rate than the image topics. We can then make sure that images are correctly synchronized together. If you have camera publishing on the network, this can be also a good format to synchronize images before sending them on the network, to avoid synchronization issues when the network is lagging.","There is a single fragment for stereo sync (Synchronize left image, right image and camera_info messages into a single message)",G22,G28,,
64,introlab/rtabmap_ros,Synchronize odometry with RGB-D images. Useful to correctly show clouds in RVIZ when odometry refresh rate is low comparatively to clouds to show.,,G22,,,
65,introlab/rtabmap_ros,Throttle at a specified rate the stereo data.,,G20,,,
66,ipa320/cob_command_tools,"Part of the freely available ROS components that run on the service robot is the driver framework ros_canopen. The stack is running under Linux, with or without linkage to ROS. It has been implemented in C++ and is divided into several layers (Figure 3) in order to enhance its flexibility and extensibility. The connection to the CAN network is enabled by SocketCAN, which is included in the mainline kernel and supports an increasing number of interface devices. Regarding the CANopen master implementation, the driver is auto- matically configured based on the EDS files for the slave devices. It supports most services like Network Management (NMT), Service Data Objects (SDO), Process Data Objects (PDO), Synchronization Objects (SYNC), Emergency Objects (EMCY), or Heartbeats. On top of it, a ROS interface was implemented that provides further configuration and intro- spection functionalities.",,G2,G4,G8,G25
67,ipa320/cob_command_tools,"it is fully integrated with another software framework, ros_control, which abstracts the controller interface from the actual hardware implementation.",,G2,,,
68,ipa320/srs_public,"Robotic Hardware Independence: SRS is not bond to one single platform; the software must be as robot hardware independent as possible. To archive this target, some software modules in the architecture need function as device drivers and thus are tied to hardware. The rest of modules should operate only on higher level hardware-independent abstractions. ",This is another reference to having a layered architecture.,G2,,,
69,ipa320/srs_public,"Parallel Processing: Applications involved in SRS requires considerable amount of computational resources for planning and control to sustain the local intelligence of the robot. At the same time, the SRS software has to satisfy long term learning and analysis requirement. Furthermore, it should also satisfy real-time constraints required by the real world applications. Generally, the onboard computational resources of the robot cannot support all the required computation, so separation the computational load across multiple sources e.g. off board machines is required.",,G9,,,
70,ipa320/srs_public,"Modularity and Collaborative Development: SRS project involves dozens of researchers and developers from different organisation, discipline and background. Since it targets to build large systems contributing to a sizable code base, it is of high importance to enforce modularity and interoperability between the software components and organise them in a systematic way allowing concurrent work on the system from all the partners in a fashion that components can be developed and verified separately and integrated efficiently in the future.",,G18,,,
71,ipa320/srs_public,"Cross Platform Communication: SRS communication requires transfer of data and commands between various hardware platforms, operating systems and applications. In order to achieve a versatile concept of robot communications it is very useful to build the SRS communications based on an efficient and reliable foundation. Furthermore, although most of robotic resources are available within Linux environment, some sensors and development kit come with only binary Windows drivers. Therefore, SRS software system must be able to deal with multiple operating system, and cross platform communication is required.",,G2,G3,G38,
72,ipa320/srs_public,"Integration with other Code Base: SRS intended to take the advantage of the latest progress of robotic development. It should be capable of re-use code available from other source. For example identified suitable candidates are the navigation system, and simulators from the Player project, vision algorithms from OpenCV, and planning algorithms from OpenRAVE, among many others. In each case, it should only to expose various configuration options and to route data into and out of the respective software, with as little wrapping or patching as possible",,G3,G4,,
73,ipab-slmc/exotica,Problem and task definitions are generic across solvers and can be loaded easily from configuration files as dynamic plug-ins without the need to recompile.,Take advantage of configuration files for things that may change between executions.,G3,G4,,
74,ipab-slmc/exotica,"To further support the extensibility of EXOTica, the motion solvers and the task maps are loaded into EXOTica as plug-ins.",Extensibility via plug-ins,G4,,,
75,irvs/ros_tms,"The ROS-TMS consists of 73 packages categorized into 11 groups and 151 processing nodes. Re-configuration of structures, for instance adding or removing modules such as sensors, actuators, and robots, is simple and straightforward owing to the high flexibility of the ROS architecture.",Take advantage of ROS modularity,G18,,,
76,jhu-dvrk/dvrk-ros,"In general, telerobotic software can be arranged into the following functional layers (see Fig. 5): hardware interface (I/O), low-level control (e.g., PID), high-level control, teleoperation, and application",Layered architecture,G39,,,
77,jhu-dvrk/dvrk-ros,"This layer also defines data structures for configuration parameters, such as sensor scale factors and the mapping of hardware to robot joints. Configuration file parsers can be created to populate these data structures from any defined format.",Configuration files for parameters,G2,G3,,
78,jhu-dvrk/dvrk-ros,"One challenge for such a component-based approach is data synchronization; this is especially true for servo loop control running at a high frequency of 1 kHz or greater. If a separate thread is created for each servo control loop and the I/O component, it is likely that the feedback data used in the servo loop control could be out of synchronization and potentially affect controller performance. As illustrated in Fig. 5, our solution puts the I/O component and all servo control (PID) components in one single thread, while keeping the advantage of a component-based approach.",Data synchronization,G9,,,
79,lagadic/vision_visp,Another consequence is that it is not necessary to modify the controller library when adding a new feature,,G4,,,
80,lagadic/vision_visp,"One of the challenges dealing with a visual servoing package is that it must deal with multiple robotic platforms as well as with various framegrabbers. Obviously, the package does not (and cannot) provide an interface with all possible robots and grabbers, but we built it in order to facilitate adding new hardware",,G2,G4,,
81,leggedrobotics/free_gait,"The implementation of Free Gait with the robot specific software is realized through adapters. An adapter is responsible to provide the actual state of the robot and forward the desired robot state to the robot controller. Through the adapter, the execution of the Free Gait commands is controlled with a free to choose sampling time ∆t.",,G5,G2,,
82,leggedrobotics/free_gait,"By separating the motion generation with the motion execution, Free Gait is robot platform agnostic, enabling to easily port motion generation methods and algorithms to a different robot. As Free Gait is also independent of the underlying whole body controller, implementing different control methods for the same control tasks requires only to write a new adapter without additional overhead. Furthermore, it is often useful to simulate or preview the motion plan, which can be accomplished by writing adapters for each and viewing the Free Gait commands before the execution on the real robot.",,G2,G18,,
83,mcgill-robotics/ros-interop,The interop client can also run in an offline mode which reads mission and obstacle information from a file instead of the server. This means that an internet connection is not required when operating in this mode.,,G29,,,
84,NiryoRobotics/niryo_one_ros,"This picture gives you an idea about the different layers of the application. Let’s start with the bottom (hardware). The hardware layer is, well, anything that directly deals with hardware ... Then we have the control layer ... On top of that, the motion planning layer is responsible for finding inverse kinematics and building a path for the robot ... The next layer is the commander layer ... On the top of this layer, we finally have the external/user layer.",Another instance of a layered architecture,G39,,,
85,NiryoRobotics/niryo_one_ros,"On the top of this layer [the ROS command level], we finally have the external/user layer. We have developed a set of high level interfaces between the ROS commander layer and the outside. The main 2 goals of those interfaces are : 1. hiding the ROS complexity for users who want to use high level commands, and 2. Providing a way to control the robot from a non-ROS environment (more on that later).",,G26,,,
86,OSLL/slam-constructor,The package provides the utility lslam2d_bag_runner to launch algorithms in the offline mode to process datasets in BAG format.,,G29,,,
87,osrf/capabilities,"Only run those capabilities that are required by currently running applications (e.g., to save power and/or processing)",Energy as a concern.,G6,,,
88,osrf/capabilities,The capability server provides a ROS API that is implemented using ROS messages and services with a ROS topic for event feedback.,Services for calling capabilities and topic for feedback.,NO_GUIDANCE,,,
89,osrf/capabilities,"There is also a Python “client” API that provides an easy-to-use Python interface for interacting with the capability server. Under the hood this client API uses the ROS API so that the client API can be used on a remote computer, which is different from the computer that the capability server is running on.",,G26,,,
90,osrf/capabilities,"The capabilities system goes one step further by not only defining the type of data being sent, but also over which named topics the data will be sent, effectively defining how the system components will be connected. ROS concepts other than topics are also covered by capability interfaces, including: services, actions, parameters, and dynamic parameters. By defining the required types and names for each of the ROS concepts, robot developers can set up their robot to send and receive data according to the interface, and app developers can depend on that interface’s being available when designing their applications.

This approach is analogous to how the Android mobile operating system allows Android apps to require and access ""capabilities"" provided by the mobile device.",,G18,,,
91,PX4/avoidance,"The local_planner requires less computational power but it doesn't compute optimal paths towards the goal since it doesn't store information about the already explored environment. An in-depth discussion on how it works can be found in this thesis. On the other hand, the global_planner is computationally more expensive since it builds a map of the environment. For the map to be good enough for navigation, accurate global position and heading are required. An in-depth discussion on how it works can be found in this thesis. The safe_landing_planner classifies the terrain underneath the vehicle based on the mean and standard deviation of the z coordinate of pointcloud points. The pointcloud from a downwards facing sensor is binned into a 2D grid based on the xy point coordinates. For each bin, the mean and standard deviation of z coordinate of the points are calculated and they are used to locate flat areas where it is safe to land.",,G9,,,
92,RoboJackets/igvc-software,Our path planning is split into global planning and local planning in order to efficiently generate paths that are locally feasible for Jessii but also globally accurate in a computationally efficient manner.,,G9,,,
93,RoboJackets/igvc-software,"given that we have a source of absolute position from the GPS and a relatively accurate accelerometer from the IMU, the Extended Kalman Filter (EKF) running in our localization module is able to compensate for a faulty IMU with accurate positions and accelerations.",Combine global and local planning/localization,G23,G21,,
94,robotics-in-concert/rocon_multimaster,"One of the main goals of the capabilities is to make writing robot agnostic ""apps"" easier. If a robot can declare that it implements the standardized interface for the navigation capability, then an app can rely on the ROS interface used to utilize that capability. Making it easier for app developers to work independently of the robot developers and making it easier to integrate onto new robots. This is analogous to the use of Messages in topics and services, and that has proven to be very effective at easing integration of disparate parts of the system. This package provides the capability_server ROS node which loads all capability spec files from packages on the ROS_PACKAGE_PATH and provides a ROS interface for querying and running those capabilities.",,G4,G18,G8,
95,robotics-in-concert/rocon_multimaster,"The gateway will be the public frontend for a ros master and is intended to act much like a gateway on a local area network controlling what is exposed and what is forwarded between the local ros master and the outside world (other ros systems). The intention is to generalise this kind of interface beyond tools that previously existed (foreign_relay, master_sync and fki_multimaster) and also make their configuration/usage as simple as possible. Goals
Gate_G01 : do not burden non-multimaster systems with unnecessary overhead
Gate_G02 : do not interface directly with foreign ros masters (put the gateway inbetween)
Gate_G03 : support all ros api types (topics, services and actions).
Gate_G04 : auto-discover other gateways (pre-configured, zeroconf or name server)
Gate_G05 : provide quality of network connection statistics between systems
Gate_G06 : control what ros api should be put on a public interface (simplicity and security)
Gate_G07 : support flipping of local ros api to a remote gateway (control what and where your share)
Gate_G08 : support pulling of publicly exposed remote ros api from a remote gateway (open sharing)
Gate_G09 : configure/manage the type of connections created between systems (unreliable, comporessed, ...)
Gate_G9 : peer to peer gateway interactions (true multimaster, not two multimaster)
Gate_G10 : access control to permit/block requests for flipping/pulling
Gate_G11 : decouple from higher level components such as the app_manager (re-usable building block).
Decisions
Gate_D01a : sit alongside, do not extend rosmaster itself
Gate_D01b : modular components called when necessary (discovery, sync, zeroconf, multicast)
Gate_D02 : adapter like interface that accepts/makes requests on one side and interacts with the ros master api on the other
Gate_D03 : leave concepts like bundling of ros api in capabilities (or similar) to higher level components
Gate_D04 : gateway discovery mechanisms should be optional and varied
By hand (yaml), centralised server (redis), zeroconf or multicast.
Gate_D05 : assume each gateway represents a single system interface that needs to be monitored, this makes it simpler and is typical for robots, even if there is multiple machines connected internally
Gate_D06a : default settings for a gateway should not expose anything.
Gate_D06b : convenience option to dump all local topics on the public interface.
Gate_D07a : gateways should have the option to block flip requests.
Gate_D07b : flip requests should have enough details for passing on to the ros master api.
Gate_D07c : convenience option to flip all local interfaces to a remote.
Gate_D07d : convenience option to flip all public interfaces to a remote.
Gate_D09a : specify transport type and hints at the system level (e.g. reliable/unreliable configuration via roslaunch).
Gate_D09b : more complete transport types (multi-language unreliable, compression etc).
Gate_D12 : do not make decisions about what to expose, where and how - gateways should be just a mechanism that can be controlled by policies dictated by higher level components.",,G1,G38,G5,G19
96,robotics-in-concert/rocon_multimaster,"Backed by a redis key-value store, a rocon hub provides a centralised place to store relevant information for multiple ros systems interacting over a LAN. It's most common use is to act as a kind of name server assisting ros subsystems to find each other",,G7,,,
